"css-146c3p1","css-175oi2r href","css-9pa8cd src","css-175oi2r href 2","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1 2","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-175oi2r href 4","css-9pa8cd src 2","css-175oi2r href 5","css-9pa8cd src 3","css-146c3p1 href 2","css-1jxf684 7","css-1jxf684 8","css-1jxf684 9","css-1jxf684 10","css-1jxf684 11","css-1jxf684 12","css-175oi2r href 6","css-1jxf684 13","css-1jxf684 14","css-1jxf684 href","css-1jxf684 15","css-1jxf684 16","css-1jxf684 17","css-1jxf684 href 2","css-1jxf684 18","css-1jxf684 19","css-9pa8cd src 4","css-175oi2r href 7","css-9pa8cd src 5","css-175oi2r href 8","css-9pa8cd src 6","r-1p0dtai src","css-1jxf684 20","css-1jxf684 href 3"
"","https://x.com/BugeseraDistr","https://pbs.twimg.com/profile_images/872102709356318723/pdvmJtB1_bigger.jpg","https://x.com/BugeseraDistr","Bugesera District","@BugeseraDistr","·","https://x.com/BugeseraDistr/status/1927383947345805711","May 27","Kuri uyu wa Kabiri, muri gahunda yo kwegereza umuriro w'amashanyarazi abaturage b'Akarere, Umuyobozi w'Akarere,","yakiriye itsinda rya","","https://x.com/BugeseraDistr/status/1927383947345805711/photo/1","https://pbs.twimg.com/media/Gr9xdJ9WwAEUNqN?format=jpg&name=360x360","https://x.com/BugeseraDistr/status/1927383947345805711/photo/2","","https://x.com/BugeseraDistr/status/1927383947345805711/media_tags","and 8 others","Ministry of Local Government | Rwanda","","1","3","10","https://x.com/BugeseraDistr/status/1927383947345805711/analytics","1.7K","","","","reposted","Rwanda Energy Group","https://x.com/MutabaziRich","baganira ku mushinga wo kugeza amashanyarazi  ku ngo z'Abaturage cyane cyane mu bice by'icyaro bitagiraga umuriro.","@MutabaziRich","https://pbs.twimg.com/media/Gr9xdLtXoAA1gWf?format=jpg&name=360x360","https://x.com/BugeseraDistr/status/1927383947345805711/photo/3","https://pbs.twimg.com/media/Gr9xdNyXEAAKDf-?format=jpg&name=360x360","https://x.com/BugeseraDistr/status/1927383947345805711/photo/4","https://pbs.twimg.com/media/Gr9xeqUWcAIg-K3?format=jpg&name=360x360","","@reg_rwanda","https://x.com/reg_rwanda"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1927286201699979275","May 27","Wari ubizi se?

REG yabashyiriyeho uburyo bubafasha kubona ibikoresho bishyushya amazi yaba ayo koga cyangwa gukoresha, hifashishijwe ingufu ziva ku mirasire y'izuba.

Akarusho, ni uko uwifuza ibyo bikoresho wese abihabwa ku nguzanyo itagira inyungu, yishyurwa mu gihe cy' imyaka","","Show more","https://x.com/reg_rwanda/status/1927286201699979275/photo/1","https://pbs.twimg.com/media/Gr8YZSwWAAATVLM?format=jpg&name=small","","","https://x.com/reg_rwanda/status/1927286201699979275/media_tags","and 3 others","Ministry of Infrastructure | Rwanda","","31","44","162","https://x.com/reg_rwanda/status/1927286201699979275/analytics","49K","","","","","","","","","","","","","","","",""
"May 27","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1927256482816430095","May 27","Mu murenge wa Muyumbu","kubera ikibazo tekinike. Turimo gukora ibishoboka byose ngo ugaruke vuba. Mutwihanganire. Murakoze.","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","3","1","5","https://x.com/reg_rwanda/status/1927256482816430095/analytics","2.6K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","·","#OutageAlert","Customers in Muyumbu sector","https://x.com/RwamaganaDistr","","@RwamaganaDistr","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1927256431335518691","May 27","Customers in Muyumbu sector","are currently experiencing a power outage due to a technical issue. Our team is working diligently to restore power as soon as possible. Please bear with us. Thank you.","","","","","","","","","","1","2","","https://x.com/reg_rwanda/status/1927256431335518691/analytics","3.6K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","https://x.com/RwamaganaDistr","","@RwamaganaDistr","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1926948935911825525","May 26","""Kwiga byabaga bigoye, twigiraga imbere y'amashyiga ukazunguza ikara kugira ngo ubone urumuri ubashe gusubiramo amasomo. Ubu rero iyo ufite ubushake , urabyuka nka saa kumi ukiga, amashanyarazi atuma habona, turamutse dutsinzwe ntawe twarenganya."", Olivier ni umunyeshuri wo ku","","Show more","","https://pbs.twimg.com/amplify_video_thumb/1926945643345448961/img/I1VLjcuxai5FPcxT.jpg","","","","","","","3","7","26","https://x.com/reg_rwanda/status/1926948935911825525/analytics","5.1K","","","","","","","","","","","","","","blob:https://x.com/c8e5d05c-6445-475e-bc01-72e23c32a1ea","",""
"May 24","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1926334769287074256","May 24","Abatuye Niboye, Kagarama na Gatenga turabiseguraho kubera ibura ry'Umuriro, itsinda ryacu ririmo gukora ibishoboka byose ngo umuriro ugaruke vuba. Murakoze","","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","14","1","6","https://x.com/reg_rwanda/status/1926334769287074256/analytics","5.3K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","·","#PowerOutageAlert","Parts of Niboye, Kagarama and Gatenga sectors are currently experiencing a power outage due to a technical issue. Our team is working diligently to restore power as soon as possible. We kindly ask for your patience. Thank you.","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1926334199092375724","May 24","Parts of Niboye, Kagarama and Gatenga sectors are currently experiencing a power outage due to a technical issue. Our team is working diligently to restore power as soon as possible. We kindly ask for your patience. Thank you.","","","","","","","","","","","1","2","5","https://x.com/reg_rwanda/status/1926334199092375724/analytics","7.6K","#PowerOutageAlert","https://x.com/hashtag/PowerOutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
"May 23","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925982172583694439","May 23","Parts of",", @MulindiCell,  @JuruCell  and","#Umurirowabuze","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","5","1","2","https://x.com/reg_rwanda/status/1925982172583694439/analytics","2.8K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","·","Ibice bya","There’s a new version of this post","https://x.com/BumbogoS","are currently experiencing a power outage due to a technical issue. Our team is working diligently to restore power as soon as possible. We kindly ask for your patience. Thank you.","@BumbogoS","","","","","","","@KabezaCell","https://x.com/KabezaCell"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1926948935911825525","May 26","""Kwiga byabaga bigoye, twigiraga imbere y'amashyiga ukazunguza ikara kugira ngo ubone urumuri ubashe gusubiramo amasomo. Ubu rero iyo ufite ubushake , urabyuka nka saa kumi ukiga, amashanyarazi atuma habona, turamutse dutsinzwe ntawe twarenganya."", Olivier ni umunyeshuri wo ku","","Show more","","","","","","2:53","","","3","7","26","https://x.com/reg_rwanda/status/1926948935911825525/analytics","5.1K","","","","","","","","","","","","","","blob:https://x.com/c8e5d05c-6445-475e-bc01-72e23c32a1ea","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925981963359240607","May 23","Ibice bya",", @MulindiCell,  @JuruCell  na","","","","","","","","","","2","1","1","https://x.com/reg_rwanda/status/1925981963359240607/analytics","2.1K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","","","","https://x.com/BumbogoS","byagize ikibazo cya tekiniki. Turimo gukora ibishoboka byose ngo umuriro ugaruke vuba. Mutwihanganire. Murakoze.","@BumbogoS","","","","","","","@KabezaCell","https://x.com/KabezaCell"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925873210798583950","May 23","We visited Mubuga Technical Secondary School in",", which offers Software Development and Electrical Technology programs. 

For their growing electricity needs, they now have a dedicated transformer.

𝐀𝐫𝐞 𝐲𝐨𝐮 𝐢𝐧𝐭𝐞𝐫𝐞𝐬𝐭𝐞𝐝 𝐢𝐧 𝐚 𝐝𝐞𝐝𝐢𝐜𝐚𝐭𝐞𝐝","Show more","https://x.com/reg_rwanda/status/1925873210798583950/photo/1","https://pbs.twimg.com/media/GroTDjOXwAArCCw?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1925873210798583950/photo/2","","https://x.com/reg_rwanda/status/1925873210798583950/media_tags","","","","3","4","18","https://x.com/reg_rwanda/status/1925873210798583950/analytics","3.3K","","","","","","https://x.com/KarongiDistr","","@KarongiDistr","https://pbs.twimg.com/media/GroTGX9XAAA3m2u?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1925873210798583950/photo/3","https://pbs.twimg.com/media/GroTILcX0AA7-_p?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1925873210798583950/photo/4","https://pbs.twimg.com/media/GroTJ7GXIAA4fNW?format=jpg&name=360x360","","",""
"May 23","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925854936215982149","May 23","Ibice bya","na","@ndubasector","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","3","1","2","https://x.com/reg_rwanda/status/1925854936215982149/analytics","2.3K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","·","#OutageAlert","Parts of","https://x.com/kinyinyasector","kubera ikibazo tekinike. Turimo gukora ibishoboka ngo umuriro ugaruke vuba. Mutwihanganire. Murakoze.","@kinyinyasector","","","","","","","@ndubasector","https://x.com/ndubasector"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925854635664822714","May 23","Parts of","and","","","","","","","","","","2","1","1","https://x.com/reg_rwanda/status/1925854635664822714/analytics","3.2K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","https://x.com/kinyinyasector","are currently experiencing a power outage due to a technical issue. Our team is working diligently to restore power as soon as possible. We kindly ask for your patience. Thank you.","@kinyinyasector","","","","","","","@ndubasector","https://x.com/ndubasector"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1926948935911825525","May 26","""Kwiga byabaga bigoye, twigiraga imbere y'amashyiga ukazunguza ikara kugira ngo ubone urumuri ubashe gusubiramo amasomo. Ubu rero iyo ufite ubushake , urabyuka nka saa kumi ukiga, amashanyarazi atuma habona, turamutse dutsinzwe ntawe twarenganya."", Olivier ni umunyeshuri wo ku","","Show more","","","","","","0:03 / 2:55","","","3","7","26","https://x.com/reg_rwanda/status/1926948935911825525/analytics","5.1K","","","","","","","","","","","","","","blob:https://x.com/c8e5d05c-6445-475e-bc01-72e23c32a1ea","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925841281546097041","May 23","Twasuye Ishuri rya Mubuga Technical Secondary School riherereye mu Karere ka",", ryigisha amashami arimo Software Development na Electrical Technology. 

 Iri shuri rifite ibibuga bya basketball na volleyball ku buryo hashobora kubera amarushanwa na ninjoro kuko haba","Show more","https://x.com/reg_rwanda/status/1925841281546097041/photo/1","https://pbs.twimg.com/media/Grnz-SyXQAARB52?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1925841281546097041/photo/2","","","","","","1","2","15","https://x.com/reg_rwanda/status/1925841281546097041/analytics","2.1K","","","","","","https://x.com/KarongiDistr","","@KarongiDistr","https://pbs.twimg.com/media/Grn0AheWEAAfNX4?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1925841281546097041/photo/3","https://pbs.twimg.com/media/Grn0CutXUAEIvXq?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1925841281546097041/photo/4","https://pbs.twimg.com/media/Grn0D_EWIAAwAK7?format=jpg&name=360x360","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925825126487965827","May 23","On 29th May 2025 there is a planned power outage in some parts of","","Show more","https://x.com/reg_rwanda/status/1925825126487965827/photo/1","https://pbs.twimg.com/media/GrnnthMWMAEjsUy?format=png&name=small","https://x.com/reg_rwanda/status/1925825126487965827/photo/2","https://pbs.twimg.com/media/GrnnthTWQAAzIRK?format=png&name=small","","","",".
Please plan accordingly to avoid interruption.","6","9","","https://x.com/reg_rwanda/status/1925825126487965827/analytics","4K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","Tariki ya 29/05/2025 hateganyijwe ibura ry'umuriro mu bice bimwe bya","","","https://x.com/Nyarugenge","&","@Nyarugenge","","","","","","","@rulindodistrict","https://x.com/rulindodistrict"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925824244132299090","May 23","On 27th May 2025 there is a planned power outage in some parts of","","Show more","https://x.com/reg_rwanda/status/1925824244132299090/photo/1","https://pbs.twimg.com/media/Grnm6U5WMAAe5hK?format=png&name=small","https://x.com/reg_rwanda/status/1925824244132299090/photo/2","https://pbs.twimg.com/media/Grnm6U3X0AAwvkx?format=png&name=small","","","","&","1","1","","https://x.com/reg_rwanda/status/1925824244132299090/analytics","1.7K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click",".
Please plan accordingly to avoid interruption.","","","https://x.com/Nyamasheke","","@Nyamasheke","","","","","","","@Gasabo_District","https://x.com/Gasabo_District"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925823391723880625","May 23","On 31st May 2025 there is a planned power outage in some parts of",".
Please plan accordingly to avoid interruption.","","https://x.com/reg_rwanda/status/1925823391723880625/photo/1","https://pbs.twimg.com/media/GrnmKOMXkAAgn-T?format=png&name=small","https://x.com/reg_rwanda/status/1925823391723880625/photo/2","https://pbs.twimg.com/media/GrnmKObXMAIbU1O?format=png&name=small","","","",".
Murakoze.","3","1","1","https://x.com/reg_rwanda/status/1925823391723880625/analytics","2.6K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","","","","https://x.com/Muhangadis","Tariki ya 31/05/2025 hateganyijwe ibura ry'umuriro mu bice bimwe bya","@Muhangadis","","","","","","","@Muhangadis","https://x.com/Muhangadis"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925822285975322954","May 23","On 28th May 2025 there is a planned power outage in some parts of","","Show more","https://x.com/reg_rwanda/status/1925822285975322954/photo/1","https://pbs.twimg.com/media/GrnlJJvWYAAY1LR?format=png&name=small","https://x.com/reg_rwanda/status/1925822285975322954/photo/2","https://pbs.twimg.com/media/GrnlJJZXAAAhB04?format=png&name=small","","","",".
Please plan accordingly to avoid interruption.","3","","","https://x.com/reg_rwanda/status/1925822285975322954/analytics","1.4K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","Tariki ya 28/05/2025 hateganyijwe ibura ry'umuriro mu bice","","","https://x.com/RusiziDistrict","&","@RusiziDistrict","","","","","","","@MusanzeDistrict","https://x.com/MusanzeDistrict"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925623956326797812","May 22",",

Mu bice bya Gisozi. Mutwihanganire mu gihe turimo gukora ibishoboka ngo umuriro ugaruke vuba. Murakoze.","","","","","","","","","","","4","4","8","https://x.com/reg_rwanda/status/1925623956326797812/analytics","4.4K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925623719319195751","May 22","!

Some customers in Gisozi are affected. Intervention has started. Please bear with us. Thank you.","","","","","","","","","","","1","4","","https://x.com/reg_rwanda/status/1925623719319195751/analytics","2.1K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925620200327504161","May 22",",

Kamonyi, umurenge wa Runda, akagali ka Gihara. Mutwihanganire mu gihe turimo gukora ibishoboka ngo umuriro ugaruke vuba. Murakoze.","","","","","","","","","","","3","2","3","https://x.com/reg_rwanda/status/1925620200327504161/analytics","3K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925618461478199617","May 22","!

Affected areas are Kamonyi, Runda sector, Gihara Cell. Intervention has started. Please bear with us. Thank you.","","","","","","","","","","","2","1","","https://x.com/reg_rwanda/status/1925618461478199617/analytics","1.9K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
"May 22","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925510559157334167","May 22","Umuriro wagarutse.

Mwakoze cyane kwihangana.","","@NyarugungaO","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","6","1","2","https://x.com/reg_rwanda/status/1925510559157334167/analytics","2.8K","","","·","#Umurirowabuze","","","","","","","","","","","",""
"May 22","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925504039581536556","May 22","","and","@NyarugungaO","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","1","1","1","https://x.com/reg_rwanda/status/1925504039581536556/analytics","4.2K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","·","#OutageAlert","Some customers of","https://x.com/KanombeSector","kubera ikibazo tekinike. Turimo gukora ibishoboka byose ngo umuriro ugaruke vuba. Mutwihanganire. Murakoze.","@KanombeSector","","","","","","","@NyarugungaO","https://x.com/NyarugungaO"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925503576391979066","May 22","Some customers of","and","","","","","","","","","","2","2","","https://x.com/reg_rwanda/status/1925503576391979066/analytics","2.3K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","https://x.com/KanombeSector","don't have power due to technical issue. We are doing our best to restore power as soon as possible. Please bear with us.
Thank you.","@KanombeSector","","","","","","","@NyarugungaO","https://x.com/NyarugungaO"
"May 21","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925179028694057078","May 21","We are currently experiencing a technical issue in Rusororo Sector in Nyagahinga cell. Our technical team is already on site, and restoration efforts are underway. We appreciate your patience and understanding.","","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","1","3","","https://x.com/reg_rwanda/status/1925179028694057078/analytics","1.9K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","·","#Umurirowabuze","Mu Murenge wa Rusororo, Akagari ka Nyagahinga,babuze amashanyarazi. Turasaba kwihangana mu gihe turimo gukemura ikibazo gihari. Murakoze.","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925178616054161755","May 21","Mu Murenge wa Rusororo, Akagari ka Nyagahinga,babuze amashanyarazi. Turasaba kwihangana mu gihe turimo gukemura ikibazo gihari. Murakoze.","","","","","","","","","","","2","1","4","https://x.com/reg_rwanda/status/1925178616054161755/analytics","3.3K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","","","","","","","","","","","","","",""
"May 21","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925153787502624987","May 21","We are currently experiencing a technical issue in Kinyinya Sector, specifically in Kagugu, Gasharu, and Murama Cells. Our technical team is already on site, and restoration efforts are underway. We appreciate your patience and understanding.","","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","1","1","4","https://x.com/reg_rwanda/status/1925153787502624987/analytics","1.9K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","·","#Umurirowabuze","Mu Murenge wa Kinyinya, Akagari ka Kagugu (Gasharu na Murama),babuze amashanyarazi. Turasaba kwihangana mu gihe turimo gukemura ikibazo gihari. Murakoze.","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925152577500357040","May 21","Mu Murenge wa Kinyinya, Akagari ka Kagugu (Gasharu na Murama),babuze amashanyarazi. Turasaba kwihangana mu gihe turimo gukemura ikibazo gihari. Murakoze.","","","","","","","","","","","2","1","5","https://x.com/reg_rwanda/status/1925152577500357040/analytics","3.7K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925139948337758462","May 21","Abayobozi batandukanye bo mu bigo bitatu bigize REG (REG Holding, EDCL na EUCL) kuri uyu wa gatatu bahuriye mu mwiherero wo gusasa inzobe no gufata ingamba zigamije gusigasira ibyagezweho no kuzamura umusaruro mu nshingano za buri munsi.

Hasuzumwe inzitizi zibangamira imikorere","","Show more","https://x.com/reg_rwanda/status/1925139948337758462/photo/1","https://pbs.twimg.com/media/Grd4jUDWMAA4zcP?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1925139948337758462/photo/2","","https://x.com/reg_rwanda/status/1925139948337758462/media_tags","and","Ministry of Infrastructure | Rwanda","Rwanda Utilities Regulatory Authority - RURA","9","7","55","https://x.com/reg_rwanda/status/1925139948337758462/analytics","7.5K","","","","","","","","","https://pbs.twimg.com/media/Grd4jT-WUAAajG1?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1925139948337758462/photo/3","https://pbs.twimg.com/media/Grd4jT3W0AAzoZ3?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1925139948337758462/photo/4","https://pbs.twimg.com/media/Grd4jT5XMAAZXLf?format=jpg&name=360x360","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1922926022313337133","May 15","On 21st May 2025 there is a planned power outage in some parts of","&","Show more","https://x.com/reg_rwanda/status/1922926022313337133/photo/1","https://pbs.twimg.com/media/Gq-a-lHWYAADaJk?format=png&name=small","https://x.com/reg_rwanda/status/1922926022313337133/photo/2","https://pbs.twimg.com/media/Gq-a-qjXsAA9bME?format=png&name=small","","","","Tariki ya 21/05/2025 hateganyijwe ibura ry'umuriro mu bice bimwe bya","1","1","2","https://x.com/reg_rwanda/status/1922926022313337133/analytics","2.2K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","","reposted","Rwanda Energy Group","https://x.com/GasaboDistrict",".
Please plan accordingly to avoid interruption.","@GasaboDistrict","","","","","","","@KicukiroDistr","https://x.com/KicukiroDistr"
